timestamp,label,confidence,vad
18:11:32,noisy,0.41,False
18:11:33,noisy,0.3,False
18:11:34,noisy,0.35,False
18:11:35,noisy,0.33,False
18:11:36,noisy,0.29,False
18:11:37,noisy,0.39,False
18:11:38,noisy,0.41,False
18:11:39,noisy,0.31,False
18:11:40,noisy,0.24,False
18:11:41,noisy,0.21,False
18:11:42,noisy,0.2,False
18:11:43,noisy,0.32,False
18:11:44,noisy,0.27,False
18:11:45,noisy,0.21,False
18:11:46,noisy,0.37,False
18:11:47,noisy,0.27,False
18:11:48,noisy,0.36,False
18:11:49,noisy,0.42,False
18:11:50,noisy,0.46,False
18:11:51,noisy,0.28,False
18:11:52,noisy,0.35,False
18:11:53,noisy,0.3,False
18:11:54,noisy,0.33,False
18:11:55,noisy,0.31,False
18:11:56,noisy,0.47,False
18:11:57,noisy,0.14,False
18:11:58,noisy,0.15,False
18:11:59,noisy,0.23,False
18:12:00,noisy,0.36,False
18:12:01,noisy,0.21,False
18:12:02,noisy,0.29,False
18:12:03,noisy,0.26,False
18:12:04,noisy,0.29,False
18:12:05,noisy,0.35,False
18:12:06,noisy,0.39,False
18:12:07,noisy,0.37,False
18:12:08,noisy,0.2,False
18:12:09,noisy,0.49,False
18:12:10,noisy,0.1,False
18:12:11,noisy,0.41,False
18:12:12,noisy,0.34,False
18:12:13,noisy,0.36,False
18:12:14,noisy,0.36,False
18:12:15,noisy,0.38,False
18:12:16,noisy,0.23,False
18:12:17,noisy,0.35,False
18:12:18,noisy,0.34,False
18:12:19,noisy,0.33,False
18:12:20,noisy,0.29,False
18:12:21,noisy,0.33,False
18:12:22,noisy,0.37,False
18:12:23,noisy,0.34,False
18:12:24,noisy,0.34,False
18:12:25,noisy,0.4,False
18:12:26,noisy,0.38,False
18:12:27,noisy,0.3,False
18:12:28,noisy,0.3,False
18:12:29,noisy,0.37,False
18:12:30,noisy,0.28,False
18:12:31,noisy,0.2,False
18:12:32,noisy,0.45,False
18:12:33,noisy,0.33,False
18:12:34,noisy,0.36,False
18:12:35,noisy,0.11,False
18:12:36,noisy,0.18,False
18:12:37,noisy,0.3,False
18:12:38,noisy,0.22,False
18:12:39,noisy,0.38,False
18:12:40,noisy,0.38,False
18:12:41,noisy,0.21,False
18:12:42,noisy,0.33,False
18:12:43,noisy,0.29,False
18:12:44,noisy,0.36,False
18:12:45,noisy,0.17,False
